,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
125,CC5,Nicoll Highway,Circle Line,Orange,17/04/2010,MRT,20,REPUBLIC AVENUE,NICOLL HIGHWAY MRT STATION (CC5),20 REPUBLIC AVENUE NICOLL HIGHWAY MRT STATION (CC5) SINGAPORE 038970,038970,31374.16493,31347.15287,1.299766847,103.863637,KALLANG,CENTRAL REGION
126,NS20,Novena,North-South Line ,Red,12/12/1987,MRT,250,THOMSON ROAD,NOVENA MRT STATION (NS20),250 THOMSON ROAD NOVENA MRT STATION (NS20) SINGAPORE 307642,307642,29169.32979,33633.15354,1.320440791,103.8438256,NOVENA,CENTRAL REGION
127,PE6,Oasis,Punggol LRT,Grey,15/06/2007,LRT,50,PUNGGOL DRIVE,OASIS LRT STATION (PE6),50 PUNGGOL DRIVE OASIS LRT STATION (PE6) SINGAPORE 828854,828854,36837.11744,42683.40205,1.40228668,103.9127274,PUNGGOL,NORTH-EAST REGION
128,CC23,one-north,Circle Line,Orange,8/10/2011,MRT,9,AYER RAJAH AVENUE,ONE-NORTH MRT STATION (CC23),9 AYER RAJAH AVENUE ONE-NORTH MRT STATION (CC23) SINGAPORE 138647,138647,22896.07281,31346.4081,1.299759875,103.7874575,QUEENSTOWN,CENTRAL REGION
129,NS22,Orchard,North-South Line ,Red,12/12/1987,MRT,437,ORCHARD ROAD,ORCHARD MRT STATION (NS22),437 ORCHARD ROAD ORCHARD MRT STATION (NS22) SINGAPORE 238878,238878,27880.54765,31813.01658,1.303980137,103.8322452,ORCHARD,CENTRAL REGION
130,TE14,Orchard,Thomson-East Coast Line,Brown,13/11/2022,MRT,301,ORCHARD BOULEVARD,ORCHARD MRT STATION (TE14),301 ORCHARD BOULEVARD ORCHARD MRT STATION (TE14) SINGAPORE 237974,237974,27783.69734,31709.53249,1.303044263,103.831375,RIVER VALLEY,CENTRAL REGION
131,TE13,Orchard Boulevard,Thomson-East Coast Line,Brown,13/11/2022,MRT,20,ORCHARD BOULEVARD,ORCHARD BOULEVARD MRT STATION (TE13),20 ORCHARD BOULEVARD ORCHARD BOULEVARD MRT STATION (TE13) SINGAPORE 248654,248654,26948.29454,31640.75525,1.302422248,103.8238685,RIVER VALLEY,CENTRAL REGION
132,EW16,Outram Park,East-West Line,Green,12/12/1987,MRT,10,OUTRAM ROAD,OUTRAM PARK MRT STATION (EW16),10 OUTRAM ROAD OUTRAM PARK MRT STATION (EW16) SINGAPORE 169037,169037,28646.87267,29316.7804,1.281405048,103.839131,OUTRAM,CENTRAL REGION
133,NE3,Outram Park,North East Line,Purple,20/06/2003,MRT,300,EU TONG SEN STREET,OUTRAM PARK MRT STATION (NE3),300 EU TONG SEN STREET OUTRAM PARK MRT STATION (NE3) SINGAPORE 059816,059816,28681.24929,29130.52227,1.279720594,103.8394399,BUKIT MERAH,CENTRAL REGION
134,TE17,Outram Park,Thomson-East Coast Line,Brown,13/11/2022,MRT,13,OUTRAM ROAD,OUTRAM PARK MRT STATION (TE17),13 OUTRAM ROAD OUTRAM PARK MRT STATION (TE17) SINGAPORE 169080,169080,28647.60482,29308.44266,1.281329644,103.8391376,OUTRAM,CENTRAL REGION
135,CC26,Pasir Panjang,Circle Line,Orange,8/10/2011,MRT,119,PASIR PANJANG ROAD,PASIR PANJANG MRT STATION (CC26),119 PASIR PANJANG ROAD PASIR PANJANG MRT STATION (CC26) SINGAPORE 117424,117424,23329.26471,28742.76576,1.276213522,103.7913503,QUEENSTOWN,CENTRAL REGION
136,EW1,Pasir Ris,East-West Line,Green,16/12/1989,MRT,10,PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),10 PASIR RIS CENTRAL PASIR RIS MRT STATION (EW1) SINGAPORE 519634,519634,40905.59746,39449.98234,1.373043316,103.9492845,PASIR RIS,EAST REGION
137,EW8,Paya Lebar,East-West Line,Green,4/11/1989,MRT,30,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (EW8),30 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (EW8) SINGAPORE 409006,409006,34648.72363,33375.66886,1.318111492,103.8930608,GEYLANG,CENTRAL REGION
138,CC9,Paya Lebar,Circle Line,Orange,17/04/2010,MRT,15,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (CC9),15 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (CC9) SINGAPORE 409049,409049,34559.69169,33280.11819,1.317247385,103.8922608,GEYLANG,CENTRAL REGION
139,BP8,Pending,Bukit Panjang LRT,Grey,6/11/1999,LRT,9,PENDING ROAD,PENDING LRT STATION (BP8),9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296,678296,21093.77925,39791.70418,1.376135743,103.7712612,BUKIT PANJANG,WEST REGION
140,BP7,Petir,Bukit Panjang LRT,Grey,6/11/1999,LRT,31,PETIR ROAD,PETIR LRT STATION (BP7),31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269,678269,20580.14797,39972.65182,1.377772043,103.7666458,BUKIT PANJANG,WEST REGION
141,BP5,Phoenix,Bukit Panjang LRT,Grey,6/11/1999,LRT,40,CHOA CHU KANG ROAD,PHOENIX LRT STATION (BP5),40 CHOA CHU KANG ROAD PHOENIX LRT STATION (BP5) SINGAPORE 689483,689483,19617.48816,40065.94041,1.378615451,103.7579956,CHOA CHU KANG,WEST REGION
142,EW28,Pioneer,East-West Line,Green,28/02/2009,MRT,31,JURONG WEST STREET 63,PIONEER MRT STATION (EW28),31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310,648310,12864.96983,35529.51155,1.337587011,103.6973216,JURONG WEST,WEST REGION
143,NE10,Potong Pasir,North East Line,Purple,20/06/2003,MRT,55,UPPER SERANGOON ROAD,POTONG PASIR MRT STATION (NE10),55 UPPER SERANGOON ROAD POTONG PASIR MRT STATION (NE10) SINGAPORE 347694,347694,31977.16676,34842.7251,1.33137949,103.8690557,TOA PAYOH,CENTRAL REGION
144,CC4,Promenade,Circle Line,Orange,17/04/2010,MRT,2,TEMASEK AVENUE,PROMENADE MRT STATION (CC4),2 TEMASEK AVENUE PROMENADE MRT STATION (CC4) SINGAPORE 039193,039193,31008.36188,30709.25781,1.293997986,103.86035,DOWNTOWN CORE,CENTRAL REGION
145,DT15,Promenade,Downtown Line,Blue,22/12/2013,MRT,10,TEMASEK AVENUE,PROMENADE MRT STATION (DT15),10 TEMASEK AVENUE PROMENADE MRT STATION (DT15) SINGAPORE 039194,039194,31068.66081,30586.93695,1.292891754,103.8608918,DOWNTOWN CORE,CENTRAL REGION
146,NE17,Punggol,North East Line,Purple,20/06/2003,MRT,70,PUNGGOL CENTRAL,PUNGGOL MRT STATION (NE17),70 PUNGGOL CENTRAL PUNGGOL MRT STATION (NE17) SINGAPORE 828868,828868,35651.3828,42933.24827,1.404546537,103.9020726,PUNGGOL,NORTH-EAST REGION
