YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,EW5,1984,164
2023-09,WEEKDAY,5,TRAIN,EW5,9646,997
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,NS25/EW13,39895,43674
2023-09,WEEKDAY,15,TRAIN,NS25/EW13,45923,41880
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,DT30,1006,4747
2023-09,WEEKDAY,22,TRAIN,DT30,1696,9895
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,EW20,1926,5284
2023-09,WEEKDAY,22,TRAIN,EW20,4154,10442
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,TE8,3328,2772
2023-09,WEEKDAY,22,TRAIN,TE8,6283,5668
2023-09,WEEKDAY,17,TRAIN,TE4,12765,4966
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,TE4,2866,2499
2023-09,WEEKDAY,15,TRAIN,EW27,37955,40540
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,EW27,24617,27146
2023-09,WEEKDAY,21,TRAIN,CC26,2835,2928
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,CC26,855,1508
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,EW20,7493,4997
2023-09,WEEKDAY,11,TRAIN,EW20,11161,7638
2023-09,WEEKENDS/HOLIDAY,0,TRAIN,EW23,199,1694
2023-09,WEEKDAY,0,TRAIN,EW23,397,2521
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,CG2,7339,12153
2023-09,WEEKDAY,10,TRAIN,CG2,12911,19242
2023-09,WEEKDAY,15,TRAIN,DT30,5149,6441
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,DT30,3604,3757
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,NE16/STC,23426,25966
2023-09,WEEKDAY,16,TRAIN,NE16/STC,39965,52624
2023-09,WEEKDAY,13,TRAIN,NS9/TE2,45310,48991
2023-09,WEEKENDS/HOLIDAY,13,TRAIN,NS9/TE2,31241,32689
2023-09,WEEKDAY,7,TRAIN,SE5,8232,8533
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,SE5,879,348
2023-09,WEEKDAY,5,TRAIN,SW1,202,149
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,SW1,57,51
2023-09,WEEKDAY,7,TRAIN,PW1,338,1594
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,PW1,59,336
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,NS15,8365,4671
2023-09,WEEKDAY,12,TRAIN,NS15,17456,12347
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,CC19/DT9,2846,2096
2023-09,WEEKDAY,20,TRAIN,CC19/DT9,5298,4601
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,EW10,6720,7740
2023-09,WEEKDAY,14,TRAIN,EW10,7303,8684
2023-09,WEEKDAY,17,TRAIN,DT5,19360,22663
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,DT5,9646,9797
2023-09,WEEKDAY,7,TRAIN,SE3,12053,2268
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,SE3,1342,305
2023-09,WEEKENDS/HOLIDAY,13,TRAIN,CC4/DT15,8680,17559
2023-09,WEEKDAY,13,TRAIN,CC4/DT15,23287,24833
2023-09,WEEKDAY,16,TRAIN,CC5,5387,4729
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,CC5,4807,6272
2023-09,WEEKDAY,10,TRAIN,NS13,49179,29562
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,NS13,28646,19039
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,PE7,385,7
2023-09,WEEKDAY,5,TRAIN,PE7,1276,89
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,CC12,2888,1880
2023-09,WEEKDAY,8,TRAIN,CC12,20220,7046
2023-09,WEEKDAY,23,TRAIN,EW21/CC22,8832,4869
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,EW21/CC22,3902,2895
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,CC17/TE9,2182,2360
2023-09,WEEKDAY,15,TRAIN,CC17/TE9,10297,4545
2023-09,WEEKDAY,10,TRAIN,CC7,5887,3775
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,CC7,3866,2561
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,CC14,3664,4094
2023-09,WEEKDAY,18,TRAIN,CC14,14617,17761
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,CC2,2679,2999
2023-09,WEEKDAY,11,TRAIN,CC2,5889,14735
2023-09,WEEKDAY,18,TRAIN,DT8,8264,8236
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,DT8,1997,2227
2023-09,WEEKDAY,16,TRAIN,DT3,7573,8053
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,DT3,4366,3742
2023-09,WEEKDAY,13,TRAIN,NS23,36817,37622
2023-09,WEEKENDS/HOLIDAY,13,TRAIN,NS23,18073,31063
2023-09,WEEKDAY,21,TRAIN,NS5,12849,37831
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,NS5,6798,17847
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,SW3,230,1408
2023-09,WEEKDAY,21,TRAIN,SW3,471,3038
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,DT2,599,504
2023-09,WEEKDAY,7,TRAIN,DT2,6987,10257
2023-09,WEEKDAY,8,TRAIN,CC20,13314,9430
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,CC20,2519,2498
2023-09,WEEKENDS/HOLIDAY,0,TRAIN,PW5,7,479
2023-09,WEEKDAY,0,TRAIN,PW5,12,695
2023-09,WEEKDAY,9,TRAIN,EW2/DT32,68017,41743
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,EW2/DT32,24979,16786
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,CC19/DT9,5122,5386
2023-09,WEEKDAY,14,TRAIN,CC19/DT9,7020,7367
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,DT29,4290,1592
2023-09,WEEKDAY,8,TRAIN,DT29,30745,9077
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,NS24/NE6/CC1,266,72
2023-09,WEEKDAY,5,TRAIN,NS24/NE6/CC1,523,296
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,CC17/TE9,2858,1798
2023-09,WEEKDAY,11,TRAIN,CC17/TE9,4959,2933
2023-09,WEEKDAY,18,TRAIN,NS5,42536,96261
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,NS5,13800,18542
2023-09,WEEKENDS/HOLIDAY,13,TRAIN,BP9,1351,974
2023-09,WEEKDAY,13,TRAIN,BP9,2477,1774
2023-09,WEEKDAY,16,TRAIN,PE2,5514,6292
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,PE2,2502,2751
2023-09,WEEKDAY,22,TRAIN,PW7,1189,2756
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,PW7,646,1449
2023-09,WEEKDAY,11,TRAIN,CC24,21693,33551
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,CC24,3686,4542
2023-09,WEEKDAY,22,TRAIN,SW4,419,2174
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,SW4,255,1049
2023-09,WEEKDAY,6,TRAIN,NS12,30369,6927
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,NS12,4705,1711
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,NS24/NE6/CC1,26635,25153
2023-09,WEEKDAY,15,TRAIN,NS24/NE6/CC1,34269,30717
2023-09,WEEKDAY,11,TRAIN,TE6,8524,3388
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,TE6,6116,2534
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,EW18,10495,7590
2023-09,WEEKDAY,12,TRAIN,EW18,17056,12932
2023-09,WEEKDAY,22,TRAIN,NS3,6200,19418
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,NS3,3092,9310
2023-09,WEEKDAY,11,TRAIN,PE6,7826,5519
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,PE6,5074,3593
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,NS12,8479,10370
2023-09,WEEKDAY,18,TRAIN,NS12,23661,46240
